carnet,nombre,contraseña
201780044,Leonardo Martinez,leo1234
201709018,Cristian Suy,cris1234
201403877,Ebany Larios,qwerty12
201700000,Madara Uchiha,contra123
201700001,Obito Uchiha,contra123
201700002,Kabuto Yakushi,contra123
201700003,Papeles Konan,contra123
201700004,Judío Hidan,contra123
201700005,Orochimaru Snake,contra123
201700006,Marionette Sasori,contra123
201700007,Kakuzu Mooney,contra123
201700008,Onion Nagato,contra123
201700009,Kisame Hoshigaki,contra123
201700010,Deidara Pum,contra123
201700011,Itachi Uchiha,contra123
201700012,Aloevera Zetsu,contra123
